TAIL_NUMBER,MANUFACTURER,MODEL
N639FE,Boeing,747-2R7F
N639QS,Cessna,560XL
N639SW,Boeing,737-3H4
N639TW,Boeing,767-3YO
N639UA,Boeing,767-222
N639US,Boeing,747-251F
N6396U,Aero Commander,680FL
N6396X,Cessna,402B
N6397X,Cessna,402B
N63978,Beech,C-99
